213|187|219|193
202|192|212|202
206|192|212|198
210|194|210|194
200|194|210|204
198|194|210|206
207|191|213|197
208|190|214|196
207|193|211|197
203|193|211|201
205|193|211|199
206|190|214|198
206|190|214|198
210|192|214|196
207|191|215|199
204|196|210|202
204|192|214|202
201|191|215|205
204|196|208|200
208|190|214|196
202|188|216|202
202|194|210|202
205|189|215|199
208|192|212|196
206|196|208|198
203|191|211|199
204|190|212|198
209|191|211|193
205|191|211|197
193|193|209|209
206|192|212|198
210|192|212|194
202|196|208|202
208|192|212|196
204|192|212|200
199|193|211|205
208|192|214|198
209|195|211|197
207|193|213|199
207|189|217|199
203|195|211|203
208|192|214|198
204|190|216|202
206|192|214|200
209|193|213|197
204|194|212|202
208|192|214|198
203|195|211|203
201|195|211|205
206|194|212|200
207|195|211|199
202|194|212|204
206|186|220|200
208|192|214|198
206|192|214|200
207|191|215|199
205|195|211|201
206|194|212|200
209|193|213|197
212|194|212|194
204|194|212|202
203|193|213|203
205|193|213|201
206|194|212|200
207|189|217|199
205|191|213|199
207|191|213|197
207|189|215|197
199|189|215|205
200|194|210|204
207|195|209|197
204|192|212|200
204|188|216|200
212|190|214|192
205|189|215|199
203|195|209|201
202|198|206|202
206|188|214|196
203|189|213|199
197|189|213|205
206|192|210|196
208|190|212|194
209|191|213|195
205|193|211|199
200|192|212|204
206|192|212|198
202|192|212|202
205|187|217|199
205|189|213|197
206|194|208|196
204|190|212|198
200|190|212|202
206|188|214|196
207|187|215|195
206|192|210|196
206|192|210|196
200|186|216|202
206|190|212|196
203|191|211|199
195|191|211|207
209|189|213|193
206|190|212|196
206|190|212|196
203|191|211|199
201|191|211|201
205|187|215|197
206|192|212|198
204|194|210|200
200|190|214|204
205|191|213|199
206|192|212|198
207|193|211|197
210|190|214|194
209|189|215|195
202|192|214|200
201|193|211|203
210|188|216|194
208|190|214|196
204|190|212|198
207|189|213|195
203|187|215|199
204|190|212|198
205|191|211|197
203|189|213|199
196|188|214|206
199|189|213|203
206|188|214|196
207|189|213|195
202|190|212|200
203|189|211|197
205|191|209|195
205|191|209|195
201|189|211|199
202|188|212|198
203|189|211|197
206|188|212|194
204|188|212|196
195|191|209|205
205|189|211|195
205|185|215|195
202|188|212|198
204|192|210|198
204|188|214|198
210|190|212|192
204|194|208|198
199|187|215|203
202|188|212|198
207|191|209|193
206|188|212|194
203|187|213|197
202|188|212|198
203|189|211|197
206|188|210|192
200|186|212|198
